wname,estatename,dcdbtenure
Hilda Creek Headwater,Daintree National Park (Cape York Peninsula Aboriginal Land),National Park
Lake Barrine,Crater Lakes National Park,National Park
Lake Eacham,Crater Lakes National Park,National Park
Nandroya Falls,Wooroonooran National Park,National Park
Diamantina Lakes Area,Diamantina National Park,National Park
West Mulgrave Falls,Wooroonooran National Park,National Park
Wairuna Lake,Girringun National Park,National Park
void,Bowling Green Bay National Park,National Park
Lake Constance,Diamantina National Park,National Park
Upper Pumicestone Coastal Plain,Beerwah State Forest,State Forest
Dalrymple and Blackfellow Creeks,Main Range National Park,National Park
