Latitude,Longitude,wname,distance_to_wetland
-34.283333,119.45,Muncoonie Lakes Area,2083350.9284995375
-38.15573,144.29395,Bulloo Lake,1032989.9585388466
-38.15016,144.30109,Bulloo Lake,1032487.0972807201
-38.082467,144.281096,Bulloo Lake,1024839.4982844053
-38.147793,144.311988,Bulloo Lake,1032387.3675577004
-38.150642,144.306635,Bulloo Lake,1032619.524443816
-38.14503,144.31377,Bulloo Lake,1032112.9283312564
-38.150372,144.300866,Bulloo Lake,1032506.9149735114
-38.094629,144.276706,Bulloo Lake,1026099.1617089115
-38.55681,143.61861,Bulloo Lake,1069093.5911519718
-38.150467,144.30074,Bulloo Lake,1032515.4265445907
-37.811532,144.121353,Bulloo Lake,993112.2302873319
-38.147194,144.310365,Bulloo Lake,1032298.7341528211
-38.1452,144.26754,Bulloo Lake,1031468.6582007809
-38.14564,144.26803,Bulloo Lake,1031523.4472461336
-38.148207,144.300494,Bulloo Lake,1032266.2051706192
-38.082568,144.280839,Bulloo Lake,1024846.790611978
-38.075643,144.284744,Bulloo Lake,1024149.9115703239
-38.098347,144.281155,Bulloo Lake,1026567.2021620427
-38.144907,144.313862,Bulloo Lake,1032100.8961461216
-38.147127,144.312682,Bulloo Lake,1032325.0492965103
-38.148544,144.361348,Bulloo Lake,1033194.5747391194
-36.79015,145.1263,Lake Numalla Aggregation,892817.1370198573
-37.94214,145.64186,Lake Numalla Aggregation,1024135.7283767142
-38.33355,142.62668,Bulloo Lake,1040020.6103296793
-37.16645,143.23424,Bulloo Lake,913415.3278481317
-37.68127,145.53323,Lake Numalla Aggregation,994424.7022888176
-37.59308,144.74214,Lake Numalla Aggregation,979365.2337292135
-36.62374,147.53082,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",873981.0467877191
-37.1347,145.23989,Lake Numalla Aggregation,931677.6799572319
-37.75833,149.28699,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1020802.7763796315
-38.00884,145.38524,Lake Numalla Aggregation,1028977.9494763602
-37.92276,145.32707,Lake Numalla Aggregation,1019044.6518761495
-37.39944,144.89481,Lake Numalla Aggregation,958626.715509111
-38.51087,146.66301,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1080992.3558446676
