Platypus_ID,Latitude,Longitude,Nearest_Wetland,Distance
0,-34.283333,119.45,,
1,-38.15573,144.29395,,
2,-38.15016,144.30109,,
3,-38.082467,144.281096,,
4,-38.147793,144.311988,,
5,-38.150642,144.306635,,
6,-38.14503,144.31377,,
7,-38.150372,144.300866,,
8,-38.094629,144.276706,,
9,-38.55681,143.61861,,
10,-38.150467,144.30074,,
11,-37.811532,144.121353,,
12,-38.147194,144.310365,,
13,-38.1452,144.26754,,
14,-38.14564,144.26803,,
15,-38.148207,144.300494,,
16,-38.082568,144.280839,,
17,-38.075643,144.284744,,
18,-38.098347,144.281155,,
19,-38.144907,144.313862,,
20,-38.147127,144.312682,,
21,-38.148544,144.361348,,
22,-36.79015,145.1263,,
23,-37.94214,145.64186,,
24,-38.33355,142.62668,,
25,-37.16645,143.23424,,
26,-37.68127,145.53323,,
27,-37.59308,144.74214,,
29,-36.62374,147.53082,,
30,-37.1347,145.23989,,
31,-37.75833,149.28699,,
32,-38.00884,145.38524,,
33,-37.92276,145.32707,,
34,-37.39944,144.89481,,
35,-38.51087,146.66301,,
36,-36.64785,146.42329,,
37,-36.2068,147.12626,,
38,-37.3514,144.3518,,
39,-37.46453,145.17791,,
40,-38.02388,144.20636,,
41,-37.69706,145.49889,,
42,-37.79561,145.38559,,
43,-37.56962,144.74058,,
44,-37.17708,143.19626,,
45,-37.48431,144.58897,,
46,-37.50598,148.22173,,
47,-37.50281,146.95131,,
48,-37.77727,145.36328,,
49,-37.76822,145.36008,,
50,-37.91848,145.34309,,
51,-36.36417,145.37666,,
52,-37.69915,144.44993,,
53,-37.46363,145.17793,,
54,-38.66854,143.49291,,
55,-37.27341,147.8567,,
56,-37.01467,145.45544,,
57,-38.65083,146.29625,,
58,-37.42058,143.13782,,
59,-37.74928,145.17549,,
60,-37.27307,147.85594,,
61,-37.67437,144.37297,,
62,-38.48821,146.69375,,
63,-37.70906,144.9957,,
64,-38.11028,144.03247,,
65,-37.75417,145.84849,,
66,-37.25916,145.82901,,
67,-37.41652,145.69849,,
68,-37.80623,145.20576,,
69,-36.71726,146.65133,,
70,-37.76179,145.63381,,
71,-37.90762,144.6518,,
72,-37.47048,145.15515,,
73,-37.36669,144.00378,,
74,-38.3511,142.4947,,
75,-38.15364,144.32049,,
76,-37.86657,145.41046,,
77,-35.62349,144.12629,,
78,-37.79649,145.38444,,
79,-37.62353,141.7097,,
80,-36.81241,147.65769,,
81,-37.31407,145.46773,,
82,-37.29015,145.8763,,
83,-37.37119,144.00019,,
84,-37.36205,145.75401,,
85,-37.44818,148.21606,,
86,-37.38738,148.89351,,
87,-37.45679,148.2096,,
88,-38.12352,142.84302,,
89,-38.10011,144.05376,,
90,-37.95682,146.15964,,
91,-37.16873,143.25683,,
92,-38.53573,143.94704,,
93,-36.53654,147.37656,,
94,-37.68239,144.4389,,
95,-37.76383,145.18421,,
96,-37.70682,145.54298,,
97,-38.0788,145.77615,,
98,-37.34949,148.69484,,
99,-38.05406,145.82443,,
100,-36.32529,146.88028,,
101,-37.04832,146.73754,,
102,-36.76344,142.16085,,
103,-36.63063,145.74448,,
104,-37.61367,145.60707,,
106,-37.3126,145.286,,
107,-38.54534,143.9589,,
108,-37.79166,145.36069,,
109,-37.405,147.41194,,
110,-36.82154,146.4109,,
111,-37.37029,144.00015,,
113,-37.72915,145.21456,,
114,-35.92473,144.41679,,
115,-38.4246,146.5681,,
116,-36.74847,146.66794,,
118,-37.73818,142.04044,,
119,-37.69417,146.40333,,
120,-36.93447,146.41228,,
121,-37.5576,143.3901,,
122,-37.3735,143.95966,,
123,-37.6716,147.84849,,
124,-37.33904,149.43448,,
126,-37.1776,143.16812,,
127,-37.16254,143.2026,,
128,-38.07441,145.78762,,
129,-36.76728,147.66851,,
130,-37.84016,145.17632,,
131,-37.17337,145.29651,,
132,-37.87864,144.64477,,
133,-37.46868,145.1552,,
134,-38.59972,146.61194,,
135,-37.6945,144.81618,,
136,-37.64545,143.48198,,
137,-37.71198,145.2717,,
138,-37.82346,147.85961,,
139,-38.14669,147.08788,,
140,-37.797,145.00623,,
142,-37.7392,145.03238,,
143,-37.47234,145.1585,,
144,-37.79013,147.87627,,
