wname,estatename,dcdbtenure
Upper Pumicestone Coastal Plain,Beerwah State Forest,State Forest
void,Bowling Green Bay National Park,National Park
Lake Eacham,Crater Lakes National Park,National Park
Lake Barrine,Crater Lakes National Park,National Park
Hilda Creek Headwater,Daintree National Park (Cape York Peninsula Aboriginal Land),National Park
Diamantina Lakes Area,Diamantina National Park,National Park
Lake Constance,Diamantina National Park,National Park
Wairuna Lake,Girringun National Park,National Park
Dalrymple and Blackfellow Creeks,Main Range National Park,National Park
West Mulgrave Falls,Wooroonooran National Park,National Park
Nandroya Falls,Wooroonooran National Park,National Park
