Platypus_ID,Latitude,Longitude,Nearest_Wetland,Distance (m)
0,-34.283333,119.45,Muncoonie Lakes Area,2083350.9284995375
1,-38.15573,144.29395,Bulloo Lake,1032989.9585388466
2,-38.15016,144.30109,Bulloo Lake,1032487.0972807201
3,-38.082467,144.281096,Bulloo Lake,1024839.4982844053
4,-38.147793,144.311988,Bulloo Lake,1032387.3675577004
5,-38.150642,144.306635,Bulloo Lake,1032619.524443816
6,-38.14503,144.31377,Bulloo Lake,1032112.9283312564
7,-38.150372,144.300866,Bulloo Lake,1032506.9149735114
8,-38.094629,144.276706,Bulloo Lake,1026099.1617089115
9,-38.55681,143.61861,Bulloo Lake,1069093.5911519718
10,-38.150467,144.30074,Bulloo Lake,1032515.4265445907
11,-37.811532,144.121353,Bulloo Lake,993112.2302873319
12,-38.147194,144.310365,Bulloo Lake,1032298.7341528211
13,-38.1452,144.26754,Bulloo Lake,1031468.6582007809
14,-38.14564,144.26803,Bulloo Lake,1031523.4472461336
15,-38.148207,144.300494,Bulloo Lake,1032266.2051706192
16,-38.082568,144.280839,Bulloo Lake,1024846.790611978
17,-38.075643,144.284744,Bulloo Lake,1024149.9115703239
18,-38.098347,144.281155,Bulloo Lake,1026567.2021620427
19,-38.144907,144.313862,Bulloo Lake,1032100.8961461216
20,-38.147127,144.312682,Bulloo Lake,1032325.0492965103
21,-38.148544,144.361348,Bulloo Lake,1033194.5747391194
22,-36.79015,145.1263,Lake Numalla Aggregation,892817.1370198573
23,-37.94214,145.64186,Lake Numalla Aggregation,1024135.7283767142
24,-38.33355,142.62668,Bulloo Lake,1040020.6103296793
25,-37.16645,143.23424,Bulloo Lake,913415.3278481317
26,-37.68127,145.53323,Lake Numalla Aggregation,994424.7022888176
27,-37.59308,144.74214,Lake Numalla Aggregation,979365.2337292135
29,-36.62374,147.53082,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",873981.0467877191
30,-37.1347,145.23989,Lake Numalla Aggregation,931677.6799572319
31,-37.75833,149.28699,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1020802.7763796315
32,-38.00884,145.38524,Lake Numalla Aggregation,1028977.9494763602
33,-37.92276,145.32707,Lake Numalla Aggregation,1019044.6518761495
34,-37.39944,144.89481,Lake Numalla Aggregation,958626.715509111
35,-38.51087,146.66301,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1080992.3558446676
36,-36.64785,146.42329,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",876352.0961621274
37,-36.2068,147.12626,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",826272.5623579038
38,-37.3514,144.3518,Bulloo Lake,946457.2280591736
39,-37.46453,145.17791,Lake Numalla Aggregation,967513.5851803164
40,-38.02388,144.20636,Bulloo Lake,1017410.3608248192
41,-37.69706,145.49889,Lake Numalla Aggregation,995814.0267422771
42,-37.79561,145.38559,Lake Numalla Aggregation,1005577.5043098058
43,-37.56962,144.74058,Lake Numalla Aggregation,976771.6605467275
44,-37.17708,143.19626,Bulloo Lake,914350.7357775823
45,-37.48431,144.58897,Bulloo Lake,964940.7191661904
46,-37.50598,148.22173,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",976986.9356009851
47,-37.50281,146.95131,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",969543.0118265762
48,-37.77727,145.36328,Lake Numalla Aggregation,1003370.5239507732
49,-37.76822,145.36008,Lake Numalla Aggregation,1002349.2586769882
50,-37.91848,145.34309,Lake Numalla Aggregation,1018706.0373532926
51,-36.36417,145.37666,Lake Numalla Aggregation,848096.2800334513
52,-37.69915,144.44993,Bulloo Lake,985808.1158447707
53,-37.46363,145.17793,Lake Numalla Aggregation,967414.6568755268
54,-38.66854,143.49291,Bulloo Lake,1080337.790738788
55,-37.27341,147.8567,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",947916.5030204236
56,-37.01467,145.45544,Lake Numalla Aggregation,920460.1048571522
57,-38.65083,146.29625,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1097712.7274325024
58,-37.42058,143.13782,Bulloo Lake,940873.0435343503
59,-37.74928,145.17549,Lake Numalla Aggregation,998830.3061073829
60,-37.27307,147.85594,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",947872.8617448697
61,-37.67437,144.37297,Bulloo Lake,981875.9878419236
62,-38.48821,146.69375,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1078434.2932347609
63,-37.70906,144.9957,Lake Numalla Aggregation,993277.74178459
64,-38.11028,144.03247,Bulloo Lake,1024554.9241908591
65,-37.75417,145.84849,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1002459.8816098624
66,-37.25916,145.82901,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",948311.9357244587
67,-37.41652,145.69849,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",966959.2176016661
68,-37.80623,145.20576,Lake Numalla Aggregation,1005308.8190113495
69,-36.71726,146.65133,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",883108.2341210814
70,-37.76179,145.63381,Lake Numalla Aggregation,1004303.9583160134
71,-37.90762,144.6518,Bulloo Lake,1011823.0434852403
72,-37.47048,145.15515,Lake Numalla Aggregation,968005.2939531864
73,-37.36669,144.00378,Bulloo Lake,942988.2897660848
74,-38.3511,142.4947,Bulloo Lake,1041935.0054105048
75,-38.15364,144.32049,Bulloo Lake,1033146.3750619243
76,-37.86657,145.41046,Lake Numalla Aggregation,1013585.5378145173
77,-35.62349,144.12629,Bulloo Lake,754680.9504549825
78,-37.79649,145.38444,Lake Numalla Aggregation,1005664.0650088986
79,-37.62353,141.7097,Bulloo Lake,963307.5999906346
80,-36.81241,147.65769,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",895613.8158358508
81,-37.31407,145.46773,Lake Numalla Aggregation,953472.7690191243
82,-37.29015,145.8763,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",951247.9136238485
83,-37.37119,144.00019,Bulloo Lake,943432.6901380101
84,-37.36205,145.75401,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",960383.9043564929
85,-37.44818,148.21606,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",970590.1636425906
86,-37.38738,148.89351,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",973521.6759424995
87,-37.45679,148.2096,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",971461.9901855303
88,-38.12352,142.84302,Bulloo Lake,1017218.9527336237
89,-38.10011,144.05376,Bulloo Lake,1023709.1082705422
90,-37.95682,146.15964,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1022244.557367767
91,-37.16873,143.25683,Bulloo Lake,913814.1618415769
92,-38.53573,143.94704,Bulloo Lake,1069992.7507060773
93,-36.53654,147.37656,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",863567.3832304601
94,-37.68239,144.4389,Bulloo Lake,983809.2372893096
95,-37.76383,145.18421,Lake Numalla Aggregation,1000492.0914395838
96,-37.70682,145.54298,Lake Numalla Aggregation,997324.964715958
97,-38.0788,145.77615,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1038739.1945444536
98,-37.34949,148.69484,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",966176.1534160422
99,-38.05406,145.82443,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1035573.0664893632
100,-36.32529,146.88028,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",839273.5355115278
101,-37.04832,146.73754,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",919521.1615655258
102,-36.76344,142.16085,Bulloo Lake,866774.5582483759
103,-36.63063,145.74448,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",880216.9659046158
104,-37.61367,145.60707,Lake Numalla Aggregation,987788.9517944669
106,-37.3126,145.286,Lake Numalla Aggregation,951639.7058535158
107,-38.54534,143.9589,Bulloo Lake,1071173.1504472895
108,-37.79166,145.36069,Lake Numalla Aggregation,1004928.579254516
109,-37.405,147.41194,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",959689.9554383194
110,-36.82154,146.4109,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",895614.4780557023
111,-37.37029,144.00015,Bulloo Lake,943333.818118129
113,-37.72915,145.21456,Lake Numalla Aggregation,996897.0688137577
114,-35.92473,144.41679,Bulloo Lake,792968.436405222
115,-38.4246,146.5681,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1071752.1037078106
116,-36.74847,146.66794,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",886515.1356523405
118,-37.73818,142.04044,Bulloo Lake,974711.6825024869
119,-37.69417,146.40333,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",991954.2585414089
120,-36.93447,146.41228,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",908084.3634105852
121,-37.5576,143.3901,Bulloo Lake,957586.8740845107
122,-37.3735,143.95966,Bulloo Lake,943159.2022391964
123,-37.6716,147.84849,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",991654.5775419207
124,-37.33904,149.43448,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",978803.4656170249
126,-37.1776,143.16812,Bulloo Lake,914241.3406907497
127,-37.16254,143.2026,Bulloo Lake,912785.5485265289
128,-38.07441,145.78762,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1038148.5391273713
129,-36.76728,147.66851,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",890706.9914068995
130,-37.84016,145.17632,Lake Numalla Aggregation,1008831.3625644209
131,-37.17337,145.29651,Lake Numalla Aggregation,936409.6181736112
132,-37.87864,144.64477,Bulloo Lake,1008567.0412198397
133,-37.46868,145.1552,Lake Numalla Aggregation,967807.4665136068
